"","villageid","ham","vc_infr","urban","all_atk","en_pres","usid","colonial_roads","all_roads","traintram","telegraph","milpost","market","factory","en_init_sitra","fr_d","fw_d","en_d","temp","admin_p1","admin_c","health_p1","health_c","educ_p1","educ_p2","educ_c","soccap_p1","soccap_c","econ_p1","econ_c","sec_p1","sec_p2","sec_c","slope","elev","id","lat","lon","dbnd","seg2","treat","dbnd2","lat2","lon2","treat_dbnd","treat2_dbnd","latlon","oweight"
"1",1030120,1,0,0,1,NA,103012001,0,0,0,0,0,0,0,0,0,0.153508771929825,1.60964912280702,"103012001",0.923375725746155,2,0.719374120235443,2,0.0801334083080292,0.919866561889648,2,0.617462813854218,2,0.639212787151337,2,0.997832596302032,0.00216742767952383,1,10.6315441131592,776,4059,15.3585796356201,107.924652099609,21.005952835083,1,1,441.250061035156,235.885971069336,11647.73046875,21.005952835083,441.250061035156,1657.5693359375,0.159761890769005
"2",1040701,9,1,0,1,1,104070109,0,0,0,0,0,0,0,0.0526315793395042,0,0,0.912280701754386,"104070109",6.80284574627876e-05,1,5.18091519552399e-06,1,0,1,2,0.000251337623922154,1,2.02194041776238e-05,1,1.12676188118622e-24,1,2,5.11063528060913,119,4855,15.3399095535278,108.221786499023,21.0636920928955,1,1,443.679138183594,235.31282043457,11711.955078125,21.0636920928955,443.679138183594,1660.11242675781,0.157452315092087
"3",1050710,1,1,0,0.571428596973419,0.523809552192688,105071001,2.21834301948547,5.96103382110596,1,0,0,0,0,0.333333343267441,0.399122807017544,0,0.62280701754386,"105071001",0.992418527603149,2,0.922594606876373,1.90476191043854,0.971644937992096,0.0283550526946783,1,0.723544657230377,1.85714280605316,0.538223505020142,1.57142853736877,0.143142342567444,0.856857657432556,1.85714280605316,1.02473711967468,10,5311,14.8921003341675,108.919708251953,21.9797611236572,0,1,483.109893798828,221.774658203125,11863.5029296875,21.9797611236572,483.109893798828,1622.04321289062,0.120809555053711
"4",1050710,2,1,0,0.380952388048172,0.190476194024086,105071002,2.44003891944885,2.55357098579407,1,0,0,0,0,0.228070184588432,0.0964912280701754,0.0131578947368421,0.741228070175439,"105071002",0.991601169109344,2,0.867350816726685,1.90476191043854,0.961548984050751,0.0384509861469269,1,0.439198225736618,1.52380955219269,0.541873633861542,1.57142853736877,0.165654450654984,0.834345579147339,1.85714280605316,0.728696405887604,8,5312,14.9109802246094,108.909301757812,23.9018974304199,0,1,571.300720214844,222.337326049805,11861.236328125,23.9018974304199,571.300720214844,1623.94445800781,0.0439241044223309
"5",1050710,3,1,0,0.363636374473572,0.454545468091965,105071003,3.97737288475037,6.01346921920776,1,0,0,0,0,0.263157904148102,0.355263157894737,0,0.385964912280702,"105071003",0.999640882015228,2,0.986743092536926,2,0.999542891979218,0.000457126676337793,1,0.328885018825531,1.27272725105286,0.728075563907623,1.72727274894714,0.592338442802429,0.407661527395248,1.45454549789429,1.23841965198517,7,5313,14.8967399597168,108.933601379395,22.7776889801025,0,1,518.823120117188,221.912857055664,11866.529296875,22.7776889801025,518.823120117188,1622.75549316406,0.088892437517643
"6",1050801,1,1,0,0.368421047925949,0.157894730567932,105080101,0,1.8879120349884,0,0,0,0,0,0.315789490938187,0.210526315789474,0.140350877192982,0.776315789473684,"105080101",0.724920451641083,1.73684215545654,0.0018947251373902,1,0.0646810084581375,0.935319006443024,2,0.520619511604309,1.5263158082962,0.00326234335079789,1,8.31840316095622e-06,0.999991655349731,2,1.30789339542389,10,5329,14.846079826355,108.927581787109,17.1722717285156,0,1,294.886901855469,220.40608215332,11865.2177734375,17.1722717285156,294.886901855469,1617.14758300781,0.313109129667282
"7",1050801,2,1,0,0.0476190485060215,0.380952388048172,105080102,0.786574006080627,5.12588119506836,0,0,0,0,0,0.350877195596695,0.175438596491228,0.12280701754386,0.653508771929825,"105080102",0.74802953004837,1.7619047164917,0.00212660850957036,1,0.0694198608398438,0.930580139160156,2,0.528083801269531,1.57142853736877,0.00295949704013765,1,7.68171304343923e-08,0.999999940395355,2,0.584989011287689,6,5330,14.8632898330688,108.932060241699,19.1399173736572,0,1,366.33642578125,220.917388916016,11866.193359375,19.1399173736572,366.33642578125,1619.08874511719,0.234403312206268
"8",1050801,3,1,0,0.333333343267441,0.142857149243355,105080103,1.27812397480011,6.31179714202881,0,0,0,0,0,0.368421047925949,0.25,0.0175438596491228,0.675438596491228,"105080103",0.751052558422089,1.7619047164917,0.00212660850957036,1,0.0694198608398438,0.930580139160156,2,0.574768841266632,1.57142853736877,0.00293781305663288,1,7.15918167770724e-06,0.999992847442627,2,1.56634438037872,8,5331,14.8713903427124,108.928268432617,19.9106502532959,0,1,396.433990478516,221.158248901367,11865.3671875,19.9106502532959,396.433990478516,1619.91479492188,0.203573986887932
"9",1050801,4,1,0,0.476190477609634,0.28571429848671,105080104,2.33588409423828,6.19531679153442,0,0,0,0,0,0.385964930057526,0.364035087719298,0,0.692982456140351,"105080104",0.751052558422089,1.7619047164917,0.00212660850957036,1,0.0694198608398438,0.930580139160156,2,0.574761390686035,1.57142853736877,0.00295172980986536,1,9.42484518873243e-07,0.999999046325684,2,0.728696405887604,9,5332,14.880410194397,108.926322937012,20.8401679992676,0,1,434.312591552734,221.426605224609,11864.943359375,20.8401679992676,434.312591552734,1620.86840820312,0.166393280029297
"10",1050801,5,1,0,0.380952388048172,0.190476194024086,105080105,0,5.67211580276489,0,0,0,0,0,0.29824560880661,0.0745614035087719,0.0175438596491228,0.662280701754386,"105080105",0.751052558422089,1.7619047164917,0.00212660850957036,1,0.0694198608398438,0.930580139160156,2,0.567449688911438,1.57142853736877,0.000539841072168201,1,7.22960339771817e-06,0.999992787837982,2,0.447898298501968,8,5333,14.8694896697998,108.918060302734,19.480167388916,0,1,379.476928710938,221.10173034668,11863.1435546875,19.480167388916,379.476928710938,1619.55603027344,0.220793306827545
